City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kastsyukovichy,53.3516,32.0506,19.3,74,93,4.44,BY,1723032229
1,puerto natales,-51.7236,-72.4875,-6.75,93,20,3.09,CL,1723032230
2,birjand,32.8663,59.2211,39.26,2,0,7.2,IR,1723032231
3,papao,-17.75,-149.55,24.82,78,13,9.08,PF,1723032232
4,tshabong,-26.05,22.45,28.22,16,4,8.15,BW,1723032233
5,port-aux-francais,-49.35,70.2167,1.13,99,100,11.49,TF,1723032235
6,iqaluit,63.7506,-68.5145,5.85,86,75,0.0,CA,1723032236
7,az zulfi,26.2995,44.8154,41.86,8,27,5.93,SA,1723032238
8,kirensk,57.7853,108.1119,23.01,57,14,1.11,RU,1723032239
9,bontang,0.1333,117.5,27.6,76,86,1.56,ID,1723032240
10,college,64.8569,-147.8028,16.99,69,75,4.12,US,1723032241
11,grytviken,-54.2811,-36.5092,-6.04,68,98,3.08,GS,1723032243
12,yellowknife,62.456,-114.3525,11.9,82,20,3.09,CA,1723032244
13,papatowai,-46.5619,169.4708,8.13,79,100,2.55,NZ,1723032245
14,iwanai,42.9744,140.5089,23.23,97,56,0.88,JP,1723032247
15,sirte,31.2089,16.5887,35.18,37,29,5.77,LY,1723032248
16,badarpur,24.9,92.6,27.1,93,78,1.95,IN,1723032249
17,arraial do cabo,-22.9661,-42.0278,23.92,73,0,5.66,BR,1723032075
18,fereydun kenar,36.6864,52.5225,27.95,76,75,3.6,IR,1723032251
19,adamstown,-25.066,-130.1015,18.54,62,80,3.26,PN,1723032252
20,kudahuvadhoo,2.6708,72.8944,28.76,73,55,4.5,MV,1723032253
21,kodiak,57.79,-152.4072,12.73,94,100,1.54,US,1723032254
22,hermanus,-34.4187,19.2345,17.11,71,66,3.95,ZA,1723032255
23,port elizabeth,-33.918,25.5701,26.17,33,0,3.6,ZA,1723032130
24,sarina,-21.4333,149.2167,19.04,1,67,2.51,AU,1723032257
25,blackmans bay,-43.0167,147.3167,10.29,77,100,0.89,AU,1723032259
26,anadyr,64.75,177.4833,7.28,75,75,2.0,RU,1723032260
27,stanley,54.868,-1.6985,16.01,74,75,5.14,GB,1723032254
28,georgetown,5.4112,100.3354,29.97,62,20,2.24,MY,1723032103
29,portland,45.5234,-122.6762,14.78,87,0,1.34,US,1723031471
30,borogontsy,62.6683,131.1683,12.6,66,45,2.8,RU,1723032264
31,lompoc,34.6391,-120.4579,16.08,100,100,1.54,US,1723032205
32,baharly,38.4362,57.4316,41.9,7,1,7.39,TM,1723032266
33,coquimbo,-29.9533,-71.3436,10.85,82,100,2.57,CL,1723031596
34,thompson,55.7435,-97.8558,9.09,93,75,2.57,CA,1723032268
35,kapoeta,4.7717,33.5903,34.5,30,32,3.84,SS,1723032269
36,zhuanghe,39.7008,122.9911,24.69,87,99,0.53,CN,1723032270
37,bethel,41.3712,-73.414,17.23,89,100,2.57,US,1723032271
38,san pedro de macoris,18.4616,-69.2972,27.34,85,8,2.56,DO,1723032272
39,margaret river,-33.95,115.0667,14.25,61,70,7.04,AU,1723032273
40,pandan,14.0453,124.1694,28.28,82,76,3.67,PH,1723032274
41,codrington,-38.2667,141.9667,8.76,74,57,5.3,AU,1723032278
42,edinburgh of the seven seas,-37.0676,-12.3116,10.09,73,80,19.27,SH,1723032279
43,avarua,-21.2078,-159.775,23.03,78,84,3.6,CK,1723032280
44,wainwright,52.839,-110.8572,11.69,70,96,1.72,CA,1723032281
45,waitangi,-43.9535,-176.5597,8.79,73,0,5.43,NZ,1723032283
46,camocim,-2.9022,-40.8411,28.94,52,29,5.78,BR,1723032284
47,ambodifotatra,-16.9833,49.85,23.71,66,9,4.95,MG,1723032285
48,walvis bay,-22.9575,14.5053,15.53,72,0,2.57,NA,1723032287
49,hadibu,12.65,54.0333,28.22,67,69,10.37,YE,1723032288
50,selfoss,63.9331,-20.9971,13.36,64,28,0.52,IS,1723032289
51,howrah,22.5892,88.3103,29.0,84,75,6.17,IN,1723032290
52,remire-montjoly,4.9167,-52.2667,27.02,89,40,1.54,GF,1723032291
53,saipan,15.1355,145.701,28.39,83,40,0.0,MP,1723032292
54,whitehorse,60.7161,-135.0538,15.43,52,0,4.12,CA,1723032294
55,hamilton,39.1834,-84.5333,23.02,90,100,3.09,US,1723032261
56,teguise,29.0605,-13.564,25.12,54,20,8.75,ES,1723032298
57,albany,42.6001,-73.9662,17.23,83,100,1.47,US,1723032008
58,saldanha,-33.0117,17.9442,16.03,77,67,3.64,ZA,1723032300
59,vernon,50.2581,-119.2691,16.74,63,3,0.51,CA,1723032301
60,dunedin,-45.8742,170.5036,9.33,73,100,0.45,NZ,1723032302
61,nueva italia de ruiz,19.0167,-102.1,21.53,98,100,0.45,MX,1723032303
62,kristiansund,63.1115,7.732,24.36,73,0,2.06,NO,1723032304
63,shaowu,27.3409,117.4831,27.18,79,99,2.29,CN,1723032306
64,luderitz,-26.6481,15.1594,14.89,71,61,4.28,NA,1723032308
65,vorgashor,67.5833,63.95,17.85,39,5,4.8,RU,1723032309
66,vigan,17.5747,120.3869,27.29,85,11,3.26,PH,1723032310
67,'alaqahdari dishu,30.4374,63.313,43.0,7,0,4.14,AF,1723032311
68,kogalym,62.2654,74.4791,17.07,43,20,6.55,RU,1723032312
69,longyearbyen,78.2186,15.6401,9.91,100,75,3.09,SJ,1723032313
70,wenchang,30.904,118.4887,29.91,72,39,2.91,CN,1723032314
71,invercargill,-46.4,168.35,8.9,77,100,1.34,NZ,1723032316
72,sitka,57.0531,-135.33,13.94,88,100,0.0,US,1723032317
73,mongo,12.1844,18.693,30.04,57,95,4.94,TD,1723032318
74,timaru,-44.4,171.25,6.82,69,100,3.18,NZ,1723032319
75,punta arenas,-53.15,-70.9167,-2.94,93,20,1.54,CL,1723032306
76,ilulissat,69.2167,-51.1,4.01,100,100,0.51,GL,1723032321
77,zarghun shahr,32.8473,68.4457,32.11,20,0,4.8,AF,1723032322
78,pombas,17.1503,-25.0201,26.88,80,74,5.77,CV,1723032323
79,keflavik,64.0049,-22.5624,12.24,76,20,6.69,IS,1723032324
80,nabire,-3.3667,135.4833,23.57,93,100,1.47,ID,1723032326
81,bilibino,68.0546,166.4372,4.56,72,4,2.58,RU,1723032309
82,yakeshi,49.2833,120.7333,18.48,75,35,2.35,CN,1723032328
83,jiangyin,31.9282,120.3126,30.16,76,35,4.03,CN,1723032329
84,enewetak,11.3474,162.3373,28.27,80,95,4.76,MH,1723032330
85,bredasdorp,-34.5322,20.0403,18.74,55,71,2.77,ZA,1723032331
86,westport,41.1415,-73.3579,19.2,87,100,4.12,US,1723032333
87,ushuaia,-54.8,-68.3,-2.19,80,0,3.09,AR,1723032334
88,ola,59.5833,151.2833,11.35,86,100,1.09,RU,1723032335
89,itambacuri,-18.0311,-41.685,21.02,63,24,2.75,BR,1723032050
90,dauphin,51.1494,-100.0502,14.08,88,100,5.66,CA,1723032338
91,realico,-35.0366,-64.2447,5.43,47,0,6.16,AR,1723032340
